,dtype,non_null,nulls,n_unique,null_frac
id,int64,197198,0,197198,0.0
resolution,int64,197198,0,2,0.0
brand_name,object,116667,80531,4067,0.408376
description,object,171138,26060,114782,0.132151
name_rus,object,197198,0,154718,0.0
CommercialTypeName4,object,197198,0,634,0.0
rating_1_count,float64,47193,150005,164,0.760682
rating_2_count,float64,47193,150005,80,0.760682
rating_3_count,float64,47193,150005,114,0.760682
rating_4_count,float64,47193,150005,108,0.760682
rating_5_count,float64,47193,150005,491,0.760682
comments_published_count,float64,47193,150005,441,0.760682
photos_published_count,float64,47193,150005,237,0.760682
videos_published_count,float64,47193,150005,77,0.760682
PriceDiscounted,float64,197198,0,197198,0.0
item_time_alive,int64,197198,0,1797,0.0
item_count_fake_returns7,int64,197198,0,21,0.0
item_count_fake_returns30,int64,197198,0,41,0.0
item_count_fake_returns90,int64,197198,0,63,0.0
item_count_sales7,int64,197198,0,201,0.0
item_count_sales30,int64,197198,0,428,0.0
item_count_sales90,int64,197198,0,716,0.0
item_count_returns7,int64,197198,0,27,0.0
item_count_returns30,int64,197198,0,61,0.0
item_count_returns90,int64,197198,0,97,0.0
GmvTotal7,float64,187007,10191,186799,0.051679
GmvTotal30,float64,189268,7930,189040,0.040213
GmvTotal90,float64,189791,7407,189683,0.037561
ExemplarAcceptedCountTotal7,float64,187007,10191,2505,0.051679
ExemplarAcceptedCountTotal30,float64,189268,7930,6326,0.040213
ExemplarAcceptedCountTotal90,float64,189791,7407,11775,0.037561
OrderAcceptedCountTotal7,float64,186797,10401,2268,0.052744
OrderAcceptedCountTotal30,float64,189038,8160,5803,0.04138
OrderAcceptedCountTotal90,float64,189681,7517,11022,0.038119
ExemplarReturnedCountTotal7,float64,187007,10191,254,0.051679
ExemplarReturnedCountTotal30,float64,189268,7930,620,0.040213
ExemplarReturnedCountTotal90,float64,189791,7407,1234,0.037561
ExemplarReturnedValueTotal7,float64,187007,10191,142653,0.051679
ExemplarReturnedValueTotal30,float64,189268,7930,165861,0.040213
ExemplarReturnedValueTotal90,float64,189791,7407,172960,0.037561
ItemVarietyCount,float64,196201,997,214,0.005056
ItemAvailableCount,float64,196201,997,215,0.005056
seller_time_alive,float64,197198,0,2186,0.0
ItemID,int64,197198,0,197198,0.0
SellerID,int64,197198,0,11167,0.0
